datetime,container_id,fruit,origin_city,destination_market,temperature,humidity,pressure,wind_speed,rainfall,aqi,weather_status,spoilage_rate,shelf_life_days,risk_level,estimated_loss,arbitrage_savings,recommendation
2025-01-05 19:00:00,C260,Banana,Ahmedabad,Delhi,31,94,1024,24.9,112.8,306,Rainy,27,1,High,149655,30985,Redirect to Nearby Market
2025-01-05 20:00:00,C147,Mango,Chennai,Hyderabad,25,30,999,5.4,70.9,82,Clear,6,8,Low,14571,3005,Continue Route
2025-01-05 21:00:00,C161,Banana,Chennai,Delhi,33,85,997,11.4,26.4,276,Clear,30,1,High,56530,27583,Redirect to Nearby Market
2025-01-05 22:00:00,C156,Banana,Bengaluru,Pune,27,83,990,7.1,15.6,243,Fog,25,2,High,88652,23503,Redirect to Nearby Market
2025-01-05 23:00:00,C024,Banana,Chennai,Delhi,38,72,1035,8.0,33.9,297,Sunny,21,3,High,80317,31093,Redirect to Nearby Market
2025-01-06 00:00:00,C233,Avocado,Lucknow,Pune,33,29,984,0.6,54.6,216,Cloudy,22,3,High,72441,24046,Redirect to Nearby Market
2025-01-06 01:00:00,C273,Apple,Hyderabad,Pune,23,54,1035,7.4,73.8,126,Cloudy,31,1,High,114572,41132,Redirect to Nearby Market
2025-01-06 02:00:00,C296,Banana,Bengaluru,Bengaluru,40,83,980,4.6,44.8,132,Fog,13,6,Medium,20963,14585,Monitor Shipment
2025-01-06 03:00:00,C056,Mango,Chennai,Pune,29,75,1032,7.8,35.0,322,Fog,25,2,High,130540,76834,Redirect to Nearby Market
2025-01-06 04:00:00,C098,Mango,Bengaluru,Pune,22,61,1010,7.8,13.5,310,Fog,16,5,Medium,15546,8037,Monitor Shipment
2025-01-06 05:00:00,C237,Orange,Jaipur,Hyderabad,38,93,1027,13.0,2.1,53,Storm,5,9,Low,8165,1131,Continue Route
2025-01-06 06:00:00,C228,Banana,Chennai,Hyderabad,26,50,1018,20.4,74.0,185,Rainy,6,8,Low,5455,2506,Continue Route
2025-01-06 07:00:00,C250,Banana,Ahmedabad,Bengaluru,23,71,1002,18.2,105.2,129,Cloudy,18,4,Medium,35899,11455,Monitor Shipment
2025-01-06 08:00:00,C101,Banana,Chennai,Delhi,24,94,1011,19.3,90.1,343,Storm,10,7,Low,11256,2067,Continue Route
2025-01-06 09:00:00,C292,Avocado,Bengaluru,Mumbai,22,49,1021,10.1,76.7,279,Cloudy,28,1,High,82659,57422,Redirect to Nearby Market
2025-01-06 10:00:00,C231,Banana,Ahmedabad,Delhi,28,26,1019,4.0,27.8,326,Rainy,23,3,High,112677,66162,Redirect to Nearby Market
2025-01-06 11:00:00,C284,Orange,Bengaluru,Hyderabad,25,56,1004,17.1,49.4,213,Clear,14,6,Medium,31827,16070,Monitor Shipment
2025-01-06 12:00:00,C201,Banana,Bengaluru,Pune,38,89,1000,8.1,89.4,93,Rainy,30,1,High,112010,32846,Redirect to Nearby Market
2025-01-06 13:00:00,C269,Mango,Jaipur,Pune,21,64,1015,4.3,55.4,165,Clear,26,2,High,54493,72991,Redirect to Nearby Market
2025-01-06 14:00:00,C121,Orange,Mumbai,Pune,34,90,1007,9.9,71.8,200,Sunny,35,1,High,50877,65447,Redirect to Nearby Market
2025-01-06 15:00:00,C241,Apple,Mumbai,Pune,20,42,1003,7.3,32.0,346,Sunny,34,1,High,106839,48913,Redirect to Nearby Market
2025-01-06 16:00:00,C116,Orange,Jaipur,Bengaluru,33,25,995,23.2,33.5,133,Rainy,23,3,High,58669,64238,Redirect to Nearby Market
2025-01-06 17:00:00,C018,Mango,Chennai,Mumbai,35,26,1027,21.6,85.4,164,Storm,7,8,Low,14563,4116,Continue Route
2025-01-06 18:00:00,C138,Banana,Kolkata,Delhi,30,93,987,22.6,0.7,86,Cloudy,26,2,High,111085,54181,Redirect to Nearby Market
2025-01-06 19:00:00,C291,Mango,Mumbai,Mumbai,22,41,1006,15.8,53.3,172,Sunny,26,2,High,128214,24064,Redirect to Nearby Market
2025-01-06 20:00:00,C149,Banana,Ahmedabad,Bengaluru,42,59,1015,1.2,5.6,206,Fog,21,3,High,130013,79730,Redirect to Nearby Market
2025-01-06 21:00:00,C265,Banana,Kolkata,Hyderabad,35,53,1015,5.6,105.7,50,Cloudy,28,1,High,91593,57206,Redirect to Nearby Market
2025-01-06 22:00:00,C181,Avocado,Kolkata,Chennai,32,29,1015,16.3,11.9,269,Rainy,35,1,High,60883,43536,Redirect to Nearby Market
2025-01-06 23:00:00,C092,Mango,Ahmedabad,Mumbai,19,77,1005,2.5,33.5,157,Storm,10,7,Low,12880,2515,Continue Route
2025-01-07 00:00:00,C292,Avocado,Lucknow,Mumbai,23,59,1024,1.3,2.1,165,Clear,30,1,High,65625,66551,Redirect to Nearby Market
2025-01-07 01:00:00,C232,Orange,Kolkata,Mumbai,22,60,1033,6.6,69.7,343,Cloudy,11,7,Low,6860,1330,Continue Route
2025-01-07 02:00:00,C192,Mango,Pune,Chennai,40,71,991,10.2,15.3,128,Fog,15,5,Medium,32773,6949,Monitor Shipment
2025-01-07 03:00:00,C175,Avocado,Hyderabad,Bengaluru,19,92,987,15.2,80.0,59,Storm,19,4,Medium,45970,9998,Monitor Shipment
2025-01-07 04:00:00,C183,Orange,Ahmedabad,Chennai,25,61,1030,16.5,48.7,146,Cloudy,7,8,Low,6324,4944,Continue Route
2025-01-07 05:00:00,C165,Apple,Pune,Hyderabad,27,94,1003,21.1,69.0,120,Cloudy,12,6,Medium,22565,9696,Monitor Shipment
2025-01-07 06:00:00,C040,Orange,Hyderabad,Delhi,40,81,1034,8.8,102.1,61,Sunny,24,2,High,144520,33579,Redirect to Nearby Market
2025-01-07 07:00:00,C057,Apple,Ahmedabad,Hyderabad,21,73,1032,24.6,85.2,335,Clear,26,2,High,139710,62031,Redirect to Nearby Market
2025-01-07 08:00:00,C076,Apple,Pune,Pune,21,83,1007,19.3,17.5,55,Sunny,22,3,High,81492,25356,Redirect to Nearby Market
2025-01-07 09:00:00,C140,Orange,Kolkata,Bengaluru,22,63,1012,19.4,7.5,318,Fog,29,1,High,128622,26050,Redirect to Nearby Market
2025-01-07 10:00:00,C094,Orange,Pune,Delhi,26,47,1023,5.5,33.8,178,Rainy,17,5,Medium,21862,6710,Monitor Shipment
2025-01-07 11:00:00,C260,Mango,Delhi,Chennai,33,48,1018,13.6,96.3,306,Fog,28,1,High,90911,34563,Redirect to Nearby Market
2025-01-07 12:00:00,C140,Orange,Chennai,Bengaluru,29,88,1035,6.4,89.6,146,Clear,22,3,High,110828,36801,Redirect to Nearby Market
2025-01-07 13:00:00,C238,Avocado,Chennai,Hyderabad,41,37,992,20.7,26.8,171,Clear,29,1,High,73182,63953,Redirect to Nearby Market
2025-01-07 14:00:00,C109,Orange,Pune,Mumbai,33,74,1011,15.6,58.9,107,Cloudy,29,1,High,50664,54860,Redirect to Nearby Market
2025-01-07 15:00:00,C132,Apple,Bengaluru,Bengaluru,23,89,999,21.1,62.0,51,Clear,26,2,High,144308,44605,Redirect to Nearby Market
2025-01-07 16:00:00,C054,Mango,Kolkata,Delhi,36,78,1010,20.7,45.0,229,Fog,14,6,Medium,30912,15317,Monitor Shipment
2025-01-07 17:00:00,C261,Avocado,Chennai,Bengaluru,31,68,998,15.2,69.7,106,Fog,21,3,High,61478,67586,Redirect to Nearby Market
2025-01-07 18:00:00,C251,Banana,Pune,Hyderabad,27,86,1027,8.2,39.1,108,Clear,25,2,High,147103,48876,Redirect to Nearby Market
2025-01-07 19:00:00,C102,Orange,Delhi,Bengaluru,27,95,1017,23.0,61.8,263,Cloudy,15,5,Medium,22328,11939,Monitor Shipment
2025-01-07 20:00:00,C226,Apple,Hyderabad,Delhi,25,88,985,11.9,68.7,144,Cloudy,25,2,High,142863,59052,Redirect to Nearby Market
2025-01-07 21:00:00,C200,Mango,Pune,Mumbai,37,29,984,20.7,68.5,136,Rainy,21,3,High,120964,54420,Redirect to Nearby Market
2025-01-07 22:00:00,C245,Banana,Chennai,Chennai,23,43,1009,17.7,102.5,33,Storm,6,8,Low,9506,4340,Continue Route
2025-01-07 23:00:00,C018,Mango,Lucknow,Mumbai,23,94,997,8.5,87.5,183,Fog,29,1,High,50854,37720,Redirect to Nearby Market
2025-01-08 00:00:00,C098,Apple,Kolkata,Pune,25,38,1005,18.2,77.0,241,Clear,26,2,High,110942,76587,Redirect to Nearby Market
2025-01-08 01:00:00,C279,Orange,Pune,Pune,30,85,1013,21.6,73.2,176,Storm,18,4,Medium,37112,17305,Monitor Shipment
2025-01-08 02:00:00,C028,Mango,Delhi,Pune,29,37,1018,11.0,83.5,253,Rainy,12,6,Medium,23422,17267,Monitor Shipment
2025-01-08 03:00:00,C150,Apple,Chennai,Chennai,24,95,1009,15.9,6.5,267,Rainy,28,1,High,149649,74912,Redirect to Nearby Market
2025-01-08 04:00:00,C209,Mango,Jaipur,Pune,29,81,989,4.5,34.5,143,Cloudy,16,5,Medium,26755,17791,Monitor Shipment
2025-01-08 05:00:00,C240,Avocado,Pune,Chennai,25,59,990,23.3,11.4,241,Clear,33,1,High,109485,62470,Redirect to Nearby Market
2025-01-08 06:00:00,C282,Banana,Ahmedabad,Bengaluru,27,57,1020,11.6,18.7,33,Fog,8,8,Low,6865,4252,Continue Route
2025-01-08 07:00:00,C216,Banana,Bengaluru,Delhi,41,37,1026,13.1,95.8,284,Rainy,31,1,High,50406,28862,Redirect to Nearby Market
2025-01-08 08:00:00,C256,Mango,Lucknow,Bengaluru,33,68,1013,18.9,103.9,156,Cloudy,8,8,Low,14548,2101,Continue Route
2025-01-08 09:00:00,C018,Banana,Bengaluru,Bengaluru,42,60,1025,9.7,23.6,117,Clear,11,7,Low,12629,1200,Continue Route
2025-01-08 10:00:00,C165,Orange,Jaipur,Delhi,33,62,1002,15.8,71.8,197,Cloudy,35,1,High,63117,61133,Redirect to Nearby Market
2025-01-08 11:00:00,C075,Orange,Pune,Mumbai,27,27,989,3.0,21.5,170,Storm,13,6,Medium,44876,7608,Monitor Shipment
2025-01-08 12:00:00,C189,Banana,Kolkata,Delhi,34,44,1024,12.5,84.7,305,Fog,26,2,High,98953,76003,Redirect to Nearby Market
2025-01-08 13:00:00,C214,Apple,Mumbai,Pune,37,41,1003,7.3,108.8,98,Fog,35,1,High,81280,24452,Redirect to Nearby Market
